==========================================
视语灵枢项目 - 自动化训练日志启动
启动时间: 2026-05-08 16:17:57
日志保存至: logs/train_20260508_1617.log
==========================================

检测到断点，从 Epoch 5 继续炼丹...

[16:22:21] Epoch 5 | Step 4740/18850 | Loss: 5.1309
[16:22:22] Epoch 5 | Step 4760/18850 | Loss: 5.3877
[16:22:23] Epoch 5 | Step 4780/18850 | Loss: 5.0676
[16:22:24] Epoch 5 | Step 4800/18850 | Loss: 5.5320
[16:22:25] Epoch 5 | Step 4820/18850 | Loss: 5.3253
[16:22:26] Epoch 5 | Step 4840/18850 | Loss: 4.7429
[16:22:27] Epoch 5 | Step 4860/18850 | Loss: 4.6642
[16:22:28] Epoch 5 | Step 4880/18850 | Loss: 5.4574
[16:22:30] Epoch 5 | Step 4900/18850 | Loss: 5.0969
[16:22:31] Epoch 5 | Step 4920/18850 | Loss: 4.8204
[16:22:32] Epoch 5 | Step 4940/18850 | Loss: 4.7352
[16:22:33] Epoch 5 | Step 4960/18850 | Loss: 5.2389
[16:22:34] Epoch 5 | Step 4980/18850 | Loss: 5.0932
[16:22:35] Epoch 5 | Step 5000/18850 | Loss: 4.6329
[16:22:36] Epoch 5 | Step 5020/18850 | Loss: 5.0239
[16:22:37] Epoch 5 | Step 5040/18850 | Loss: 5.2826
[16:22:38] Epoch 5 | Step 5060/18850 | Loss: 5.1518
[16:22:39] Epoch 5 | Step 5080/18850 | Loss: 4.8071
[16:22:40] Epoch 5 | Step 5100/18850 | Loss: 5.3068
[16:22:42] Epoch 5 | Step 5120/18850 | Loss: 4.5678
[16:22:43] Epoch 5 | Step 5140/18850 | Loss: 5.2005
[16:22:44] Epoch 5 | Step 5160/18850 | Loss: 5.1049
[16:22:45] Epoch 5 | Step 5180/18850 | Loss: 5.2357
[16:22:46] Epoch 5 | Step 5200/18850 | Loss: 4.8144
[16:22:47] Epoch 5 | Step 5220/18850 | Loss: 5.1854
[16:22:48] Epoch 5 | Step 5240/18850 | Loss: 5.0234
[16:22:49] Epoch 5 | Step 5260/18850 | Loss: 4.9805
[16:22:51] Epoch 5 | Step 5280/18850 | Loss: 4.8712
[16:22:52] Epoch 5 | Step 5300/18850 | Loss: 6.0504
[16:22:53] Epoch 5 | Step 5320/18850 | Loss: 5.5080
[16:22:54] Epoch 5 | Step 5340/18850 | Loss: 4.7697
[16:22:55] Epoch 5 | Step 5360/18850 | Loss: 5.0176
[16:22:56] Epoch 5 | Step 5380/18850 | Loss: 5.3453
[16:22:57] Epoch 5 | Step 5400/18850 | Loss: 4.6775
[16:22:58] Epoch 5 | Step 5420/18850 | Loss: 5.9887
[16:22:59] Epoch 5 | Step 5440/18850 | Loss: 4.9497
[16:23:01] Epoch 5 | Step 5460/18850 | Loss: 5.2953
[16:23:02] Epoch 5 | Step 5480/18850 | Loss: 5.6236
[16:23:03] Epoch 5 | Step 5500/18850 | Loss: 4.5315
[16:23:04] Epoch 5 | Step 5520/18850 | Loss: 5.3697
[16:23:05] Epoch 5 | Step 5540/18850 | Loss: 4.7074
[16:23:06] Epoch 5 | Step 5560/18850 | Loss: 5.6451
[16:23:07] Epoch 5 | Step 5580/18850 | Loss: 5.6360
[16:23:08] Epoch 5 | Step 5600/18850 | Loss: 4.9337
[16:23:10] Epoch 5 | Step 5620/18850 | Loss: 5.4001
[16:23:11] Epoch 5 | Step 5640/18850 | Loss: 5.1635
[16:23:12] Epoch 5 | Step 5660/18850 | Loss: 5.5873
[16:23:13] Epoch 5 | Step 5680/18850 | Loss: 5.3415
[16:23:14] Epoch 5 | Step 5700/18850 | Loss: 5.8505
[16:23:15] Epoch 5 | Step 5720/18850 | Loss: 5.1180
[16:23:16] Epoch 5 | Step 5740/18850 | Loss: 5.4824
[16:23:17] Epoch 5 | Step 5760/18850 | Loss: 5.4945
[16:23:19] Epoch 5 | Step 5780/18850 | Loss: 5.5715
[16:23:20] Epoch 5 | Step 5800/18850 | Loss: 5.2692
[16:23:21] Epoch 5 | Step 5820/18850 | Loss: 5.4433
[16:23:22] Epoch 5 | Step 5840/18850 | Loss: 5.3460
[16:23:23] Epoch 5 | Step 5860/18850 | Loss: 5.6112
[16:23:24] Epoch 5 | Step 5880/18850 | Loss: 5.3225
[16:23:25] Epoch 5 | Step 5900/18850 | Loss: 5.2999
[16:23:26] Epoch 5 | Step 5920/18850 | Loss: 4.7379
[16:23:27] Epoch 5 | Step 5940/18850 | Loss: 5.3964
[16:23:28] Epoch 5 | Step 5960/18850 | Loss: 6.2242
[16:23:29] Epoch 5 | Step 5980/18850 | Loss: 5.6956
[16:23:30] Epoch 5 | Step 6000/18850 | Loss: 5.1275
[16:23:31] Epoch 5 | Step 6020/18850 | Loss: 5.2033
[16:23:33] Epoch 5 | Step 6040/18850 | Loss: 5.7796
[16:23:34] Epoch 5 | Step 6060/18850 | Loss: 5.2044
[16:23:35] Epoch 5 | Step 6080/18850 | Loss: 5.3007
[16:23:36] Epoch 5 | Step 6100/18850 | Loss: 5.2725
[16:23:37] Epoch 5 | Step 6120/18850 | Loss: 5.0655
[16:23:38] Epoch 5 | Step 6140/18850 | Loss: 5.1285
[16:23:39] Epoch 5 | Step 6160/18850 | Loss: 5.3788
[16:23:40] Epoch 5 | Step 6180/18850 | Loss: 4.8949
[16:23:41] Epoch 5 | Step 6200/18850 | Loss: 5.2537
[16:23:42] Epoch 5 | Step 6220/18850 | Loss: 5.0721
[16:23:43] Epoch 5 | Step 6240/18850 | Loss: 5.3928
[16:23:44] Epoch 5 | Step 6260/18850 | Loss: 4.6354
[16:23:46] Epoch 5 | Step 6280/18850 | Loss: 5.5215
[16:23:47] Epoch 5 | Step 6300/18850 | Loss: 5.5949
[16:23:48] Epoch 5 | Step 6320/18850 | Loss: 5.0012
[16:23:49] Epoch 5 | Step 6340/18850 | Loss: 5.0370
[16:23:50] Epoch 5 | Step 6360/18850 | Loss: 5.4883
[16:23:51] Epoch 5 | Step 6380/18850 | Loss: 5.3571
[16:23:52] Epoch 5 | Step 6400/18850 | Loss: 5.1298
[16:23:53] Epoch 5 | Step 6420/18850 | Loss: 5.5191
[16:23:54] Epoch 5 | Step 6440/18850 | Loss: 5.6436
[16:23:55] Epoch 5 | Step 6460/18850 | Loss: 5.1594
[16:23:57] Epoch 5 | Step 6480/18850 | Loss: 5.4918
[16:23:58] Epoch 5 | Step 6500/18850 | Loss: 5.4997
[16:23:59] Epoch 5 | Step 6520/18850 | Loss: 5.3309
[16:24:00] Epoch 5 | Step 6540/18850 | Loss: 5.2173
[16:24:01] Epoch 5 | Step 6560/18850 | Loss: 5.3515
[16:24:02] Epoch 5 | Step 6580/18850 | Loss: 4.8458
[16:24:03] Epoch 5 | Step 6600/18850 | Loss: 5.2496
[16:24:04] Epoch 5 | Step 6620/18850 | Loss: 4.8601
[16:24:05] Epoch 5 | Step 6640/18850 | Loss: 5.5019
[16:24:07] Epoch 5 | Step 6660/18850 | Loss: 5.9766
[16:24:08] Epoch 5 | Step 6680/18850 | Loss: 5.0482
[16:24:09] Epoch 5 | Step 6700/18850 | Loss: 5.1944
[16:24:10] Epoch 5 | Step 6720/18850 | Loss: 5.4088
[16:24:11] Epoch 5 | Step 6740/18850 | Loss: 5.0920
[16:24:12] Epoch 5 | Step 6760/18850 | Loss: 5.4069
[16:24:13] Epoch 5 | Step 6780/18850 | Loss: 5.3743
[16:24:14] Epoch 5 | Step 6800/18850 | Loss: 5.8231
[16:24:15] Epoch 5 | Step 6820/18850 | Loss: 5.7860
[16:24:16] Epoch 5 | Step 6840/18850 | Loss: 5.4468
[16:24:17] Epoch 5 | Step 6860/18850 | Loss: 4.9826
[16:24:19] Epoch 5 | Step 6880/18850 | Loss: 5.0272
[16:24:20] Epoch 5 | Step 6900/18850 | Loss: 5.6791
[16:24:21] Epoch 5 | Step 6920/18850 | Loss: 4.6953
[16:24:22] Epoch 5 | Step 6940/18850 | Loss: 5.3134
[16:24:23] Epoch 5 | Step 6960/18850 | Loss: 4.6921
[16:24:24] Epoch 5 | Step 6980/18850 | Loss: 5.4667
[16:24:25] Epoch 5 | Step 7000/18850 | Loss: 5.3348
[16:24:26] Epoch 5 | Step 7020/18850 | Loss: 5.2133
[16:24:27] Epoch 5 | Step 7040/18850 | Loss: 5.4800
[16:24:28] Epoch 5 | Step 7060/18850 | Loss: 4.5547
[16:24:29] Epoch 5 | Step 7080/18850 | Loss: 5.5463
[16:24:30] Epoch 5 | Step 7100/18850 | Loss: 5.2864
[16:24:31] Epoch 5 | Step 7120/18850 | Loss: 5.3846
[16:24:32] Epoch 5 | Step 7140/18850 | Loss: 4.7607
[16:24:34] Epoch 5 | Step 7160/18850 | Loss: 5.3866
[16:24:35] Epoch 5 | Step 7180/18850 | Loss: 5.1275
[16:24:36] Epoch 5 | Step 7200/18850 | Loss: 5.1996
[16:24:37] Epoch 5 | Step 7220/18850 | Loss: 4.8334
[16:24:38] Epoch 5 | Step 7240/18850 | Loss: 5.5400
[16:24:39] Epoch 5 | Step 7260/18850 | Loss: 5.9915
[16:24:40] Epoch 5 | Step 7280/18850 | Loss: 5.0895
[16:24:41] Epoch 5 | Step 7300/18850 | Loss: 5.3273
[16:24:42] Epoch 5 | Step 7320/18850 | Loss: 5.0416
[16:24:43] Epoch 5 | Step 7340/18850 | Loss: 5.3215
[16:24:45] Epoch 5 | Step 7360/18850 | Loss: 5.2812
[16:24:46] Epoch 5 | Step 7380/18850 | Loss: 5.0339
[16:24:47] Epoch 5 | Step 7400/18850 | Loss: 5.3662
[16:24:48] Epoch 5 | Step 7420/18850 | Loss: 5.4953
[16:24:49] Epoch 5 | Step 7440/18850 | Loss: 4.7158
[16:24:50] Epoch 5 | Step 7460/18850 | Loss: 4.3916
[16:24:51] Epoch 5 | Step 7480/18850 | Loss: 5.3429
[16:24:52] Epoch 5 | Step 7500/18850 | Loss: 5.2393
[16:24:53] Epoch 5 | Step 7520/18850 | Loss: 4.9628
[16:24:55] Epoch 5 | Step 7540/18850 | Loss: 5.3308
[16:24:56] Epoch 5 | Step 7560/18850 | Loss: 4.7295
[16:24:57] Epoch 5 | Step 7580/18850 | Loss: 4.4431
[16:24:58] Epoch 5 | Step 7600/18850 | Loss: 5.3095
[16:24:59] Epoch 5 | Step 7620/18850 | Loss: 5.5141
[16:25:00] Epoch 5 | Step 7640/18850 | Loss: 5.7953
[16:25:01] Epoch 5 | Step 7660/18850 | Loss: 5.5139
[16:25:02] Epoch 5 | Step 7680/18850 | Loss: 5.4641
[16:25:03] Epoch 5 | Step 7700/18850 | Loss: 5.8416
[16:25:04] Epoch 5 | Step 7720/18850 | Loss: 5.8115
[16:25:05] Epoch 5 | Step 7740/18850 | Loss: 5.2794
[16:25:06] Epoch 5 | Step 7760/18850 | Loss: 5.2814
[16:25:08] Epoch 5 | Step 7780/18850 | Loss: 4.9533
